id,FailureModes.Description,Platforms.Name as Platfrom,Components.Name as Component,SubComponents.Name as SubComponent,FailureModes.Functionality
2,User is not aware thar Physical PM started button needs to be clicked,C2C3,UI,Auto PM,Notification of Pre PM started
3,PE receives an invalid MACRO name from Host PM request,C2C3,FA,Auto PM,Module Auto PM request
4,"User is not aware that ""Physical PM completed"" button needs to be clicked",C2C3,UI,Auto PM,Notification of Pre PM Ended
5,"User is not aware that ""Physical PM started"" button needs to be clicked",C2C3,UI,Auto PM,Notification of Pre PM started
6,"User is not aware that ""Physical PM completed"" button needs to be clicked",C2C3,UI,Auto PM,Notification of Pre PM Ended
7,Gem status is offline/not communicating/online local,C2C3,FA,Auto PM,PMJOBCREATE/PMJOBAbort command
8,"Command has arguments other than ""ChamberID"" & ""MacroName""",C2C3,FA,Auto PM,PMJOBCREATE command
9,"While processing the command, the send mesg from NFA to the module task times out.",C2C3,FA,Auto PM,PMJOBCREATE/PMJOBAbort command
10,Not all the VIDs corresponding to Auto PM are updated to Host,C2C3,FA,Auto PM,VID updation
11,Accepts invalid PMJOBCREATE & PMJOBABORT command take chamber ID string parameters,C2C3,FA,Auto PM,chamber ID parameter in PMJOBCREATE/PMJOBAbort command
12,PE recives an invalid MACRO name from Host  PM request ,C2C3,FA,Auto PM,Module Auto PM request 
13,Product is GAMMA,C2C3,FA,Auto PM,PMJOBCREATE/PMJOBAbort command 
14,"PMJOBCREATE & PMJOBABORT command take chamber ID as the parameter. Since it is of string type, invalid values can be entered.",C2C3,FA,Auto PM,Invalid chamber ID in the PMJOBCREATE/PMJOBAbort command 
15,Persistant data after upgrade,C2C3,Program Executor,Auto Clogging,Data not retained after upgrade
16,Auto Clogging does not run,C2C3,Program Executor,Auto Clogging,Leak Check for PED valves shall not happen
17,Auto Clogging ER,C2C3,Program Executor,Auto Clogging,ER does not complete the Auto-clogging Leak check.
18,Correct Last Leak/Leak Date update,C2C3,Program Executor,Auto Clogging,Incorrect Data updated on an errored/aborted Auto Clog Leak Check
19,Backward compatibility,C2C3,Program Executor,Auto Clogging,Module ROR does not run/or does not run as before
20,Leak Check and Ped Leak should not start simultaneously,C2C3,Program Executor,Auto Clogging,Two tasks controlling one module's HW simultaneously.
